Country,State,Year,"Profit Or Loss Amount (UOM:INR(IndianRupees)), Scaling Factor:100000","Non Performing Assets (Npas) As Percentage Of Loans Outstanding (UOM:%(Percentage)), Scaling Factor:1","Recovery To Demand  (UOM:%(Percentage)), Scaling Factor:1"
India,Andaman and Nicobar Islands,"Financial Year (Apr - Mar), 2011",260,19.2,70.4
India,Andhra Pradesh,"Financial Year (Apr - Mar), 2011",5407.242537,1,96.8
India,Arunachal Pradesh,"Financial Year (Apr - Mar), 2011",30,84.4,7.7
India,Assam,"Financial Year (Apr - Mar), 2011",2598,20.6,62.9
India,Bihar,"Financial Year (Apr - Mar), 2011",637,24.2,72.1
India,Chandigarh,"Financial Year (Apr - Mar), 2011",318,13.9,66.6
India,Chhattisgarh,"Financial Year (Apr - Mar), 2011",1002,4.7,92.7
India,Delhi,"Financial Year (Apr - Mar), 2011",3024,7,90.4
India,Goa,"Financial Year (Apr - Mar), 2011",99,14.8,87.4
India,Gujarat,"Financial Year (Apr - Mar), 2011",1371,2.1,99.1
India,Haryana,"Financial Year (Apr - Mar), 2011",501,0,99.9
India,Himachal Pradesh,"Financial Year (Apr - Mar), 2011",4142,12.6,71.9
India,Jammu and Kashmir,"Financial Year (Apr - Mar), 2011",20.54066406,26.3,52.5
India,Karnataka,"Financial Year (Apr - Mar), 2011",2900,4.9,97.7
India,Kerala,"Financial Year (Apr - Mar), 2011",-10116,12.7,85.1
India,Ladakh,"Financial Year (Apr - Mar), 2011",0.459335939,26.3,52.5
India,Madhya Pradesh,"Financial Year (Apr - Mar), 2011",6399,1.5,97.4
India,Maharashtra,"Financial Year (Apr - Mar), 2011",17539,21.2,83.8
India,Manipur,"Financial Year (Apr - Mar), 2011",46,69.1,19.6
India,Meghalaya,"Financial Year (Apr - Mar), 2011",1118,13.3,22.1
India,Mizoram,"Financial Year (Apr - Mar), 2011",222,14.4,63.7
India,Nagaland,"Financial Year (Apr - Mar), 2011",299,26,68.7
India,Odisha,"Financial Year (Apr - Mar), 2011",1102,5.8,97.1
India,Puducherry,"Financial Year (Apr - Mar), 2011",-661,12.9,92.4
India,Punjab,"Financial Year (Apr - Mar), 2011",2718,0.9,99.4
India,Rajasthan,"Financial Year (Apr - Mar), 2011",1958,0.8,97
India,Sikkim,"Financial Year (Apr - Mar), 2011",285,5,73
India,Tamil Nadu,"Financial Year (Apr - Mar), 2011",6030,3.3,98.3
India,Telangana,"Financial Year (Apr - Mar), 2011",3817.757463,1,96.8
India,Tripura,"Financial Year (Apr - Mar), 2011",1993,18.1,65.7
India,Uttar Pradesh,"Financial Year (Apr - Mar), 2011",3002,6.2,93.2
India,Uttarakhand,"Financial Year (Apr - Mar), 2011",276,4.9,97.2
India,West Bengal,"Financial Year (Apr - Mar), 2011",-5987,0,93.2
India,Andaman and Nicobar Islands,"Financial Year (Apr - Mar), 2010",240,9.4,92.1
India,Andhra Pradesh,"Financial Year (Apr - Mar), 2010",6549.650743,2.7,95.6
India,Arunachal Pradesh,"Financial Year (Apr - Mar), 2010",893,65,7.7
India,Assam,"Financial Year (Apr - Mar), 2010",4566,34.6,64.3
India,Bihar,"Financial Year (Apr - Mar), 2010",637,24.2,72.1
India,Chandigarh,"Financial Year (Apr - Mar), 2010",365,14.4,62.2
India,Chhattisgarh,"Financial Year (Apr - Mar), 2010",669,7.8,93
India,Delhi,"Financial Year (Apr - Mar), 2010",2691,7.6,91.2
India,Goa,"Financial Year (Apr - Mar), 2010",101,8.2,87.4
India,Gujarat,"Financial Year (Apr - Mar), 2010",1371,9,87.8
India,Haryana,"Financial Year (Apr - Mar), 2010",501,0.1,99.9
India,Himachal Pradesh,"Financial Year (Apr - Mar), 2010",5585,12.4,67
India,Jammu and Kashmir,"Financial Year (Apr - Mar), 2010",20.54066406,26.3,52.5
India,Karnataka,"Financial Year (Apr - Mar), 2010",925,4.1,97.5
India,Kerala,"Financial Year (Apr - Mar), 2010",-6552,15.3,85.8
India,Ladakh,"Financial Year (Apr - Mar), 2010",0.459335939,26.3,52.5
India,Madhya Pradesh,"Financial Year (Apr - Mar), 2010",4034,3.2,97.3
India,Maharashtra,"Financial Year (Apr - Mar), 2010",287,23.5,70.6
India,Manipur,"Financial Year (Apr - Mar), 2010",46,69.1,19.6
India,Meghalaya,"Financial Year (Apr - Mar), 2010",2210,13.3,28.3
India,Mizoram,"Financial Year (Apr - Mar), 2010",222,15.5,75.3
India,Nagaland,"Financial Year (Apr - Mar), 2010",62,35.3,66
India,Odisha,"Financial Year (Apr - Mar), 2010",1075,5.1,96.8
India,Puducherry,"Financial Year (Apr - Mar), 2010",39,13.7,92.4
India,Punjab,"Financial Year (Apr - Mar), 2010",2576,1.1,99.3
India,Rajasthan,"Financial Year (Apr - Mar), 2010",2447,1.1,98.4
India,Sikkim,"Financial Year (Apr - Mar), 2010",155,7,62.2
India,Tamil Nadu,"Financial Year (Apr - Mar), 2010",4069,2.7,99.4
India,Telangana,"Financial Year (Apr - Mar), 2010",4624.349257,2.7,95.6
India,Tripura,"Financial Year (Apr - Mar), 2010",1993,18.1,65.7
India,Uttar Pradesh,"Financial Year (Apr - Mar), 2010",2112,7.8,91.9
India,Uttarakhand,"Financial Year (Apr - Mar), 2010",275,12.4,97.4
India,West Bengal,"Financial Year (Apr - Mar), 2010",1452,4,91.1
India,Andaman and Nicobar Islands,"Financial Year (Apr - Mar), 2009",209,20,59.2
India,Andhra Pradesh,"Financial Year (Apr - Mar), 2009",8013.855822,1,88.9
India,Arunachal Pradesh,"Financial Year (Apr - Mar), 2009",893,99.9,14.4
India,Assam,"Financial Year (Apr - Mar), 2009",644,34.6,64.3
India,Bihar,"Financial Year (Apr - Mar), 2009",637,24.2,72.1
India,Chandigarh,"Financial Year (Apr - Mar), 2009",332,15.6,60.9
India,Chhattisgarh,"Financial Year (Apr - Mar), 2009",498,10.1,80
India,Delhi,"Financial Year (Apr - Mar), 2009",2567,9.3,89
India,Goa,"Financial Year (Apr - Mar), 2009",93,10.9,80.7
India,Gujarat,"Financial Year (Apr - Mar), 2009",6026,10.2,87.2
India,Haryana,"Financial Year (Apr - Mar), 2009",-1399,0.1,99.9
India,Himachal Pradesh,"Financial Year (Apr - Mar), 2009",3553,13.2,80
India,Jammu and Kashmir,"Financial Year (Apr - Mar), 2009",1.95625372,19.1,58.3
India,Karnataka,"Financial Year (Apr - Mar), 2009",925,4.3,97.6
India,Kerala,"Financial Year (Apr - Mar), 2009",-19407,19.1,81.8
India,Ladakh,"Financial Year (Apr - Mar), 2009",0.04374628,19.1,58.3
India,Madhya Pradesh,"Financial Year (Apr - Mar), 2009",1811,2.4,96.9
India,Maharashtra,"Financial Year (Apr - Mar), 2009",287,20.9,79.6
India,Manipur,"Financial Year (Apr - Mar), 2009",73,69.1,19.6
India,Meghalaya,"Financial Year (Apr - Mar), 2009",1938,15,20.1
India,Mizoram,"Financial Year (Apr - Mar), 2009",214,15.5,75.3
India,Nagaland,"Financial Year (Apr - Mar), 2009",51,41.9,67.1
India,Odisha,"Financial Year (Apr - Mar), 2009",1034,4.6,96.7
India,Puducherry,"Financial Year (Apr - Mar), 2009",31,6.2,92
India,Punjab,"Financial Year (Apr - Mar), 2009",757,1.2,99.2
India,Rajasthan,"Financial Year (Apr - Mar), 2009",1317,1.8,97.1
India,Sikkim,"Financial Year (Apr - Mar), 2009",155,7,62.2
India,Tamil Nadu,"Financial Year (Apr - Mar), 2009",1880,3.6,99.8
India,Telangana,"Financial Year (Apr - Mar), 2009",5658.144178,1,88.9
India,Tripura,"Financial Year (Apr - Mar), 2009",1993,18.1,65.7
India,Uttar Pradesh,"Financial Year (Apr - Mar), 2009",2036,10.3,90.2
India,Uttarakhand,"Financial Year (Apr - Mar), 2009",210,12.4,97.4
India,West Bengal,"Financial Year (Apr - Mar), 2009",1452,4,91.1
