Country,State,Year,"Profit Or Loss Amount (UOM:INR(IndianRupees)), Scaling Factor:100000","Non Performing Assets (Npas) As Percentage Of Loans Outstanding (UOM:%(Percentage)), Scaling Factor:1","Recovery To Demand  (UOM:%(Percentage)), Scaling Factor:1"
India,Uttarakhand,"Financial Year (Apr - Mar), 2022",1336,4.9,96.1
India,West Bengal,"Financial Year (Apr - Mar), 2022",15021,5,89.2
India,Andaman and Nicobar Islands,"Financial Year (Apr - Mar), 2021",281,38.7,58.2
India,Andhra Pradesh,"Financial Year (Apr - Mar), 2021",18557,1.5,99.4
India,Arunachal Pradesh,"Financial Year (Apr - Mar), 2021",-3876,50.8,10.9
India,Assam,"Financial Year (Apr - Mar), 2021",1151,8.4,63.4
India,Bihar,"Financial Year (Apr - Mar), 2021",7797,2.3,65.4
India,Chandigarh,"Financial Year (Apr - Mar), 2021",138,4.3,77.5
India,Chhattisgarh,"Financial Year (Apr - Mar), 2021",3181,2.1,86.2
India,Delhi,"Financial Year (Apr - Mar), 2021",1969,1.3,97.6
India,Goa,"Financial Year (Apr - Mar), 2021",796,11.4,80.9
India,Gujarat,"Financial Year (Apr - Mar), 2021",10517,1,96.8
India,Haryana,"Financial Year (Apr - Mar), 2021",6784,0.1,100
India,Himachal Pradesh,"Financial Year (Apr - Mar), 2021",12162,8.9,57.4
India,Jammu and Kashmir,"Financial Year (Apr - Mar), 2021",-1040.726979,52.5,13.7
India,Jharkhand,"Financial Year (Apr - Mar), 2021",2049,18.5,50.7
India,Karnataka,"Financial Year (Apr - Mar), 2021",9000,3.9,97.9
India,Kerala,"Financial Year (Apr - Mar), 2021",7724,13.3,81.1
India,Ladakh,"Financial Year (Apr - Mar), 2021",-23.27302091,52.5,13.7
India,Madhya Pradesh,"Financial Year (Apr - Mar), 2021",2306,4.7,92.3
India,Maharashtra,"Financial Year (Apr - Mar), 2021",68457,11,83.6
India,Manipur,"Financial Year (Apr - Mar), 2021",459,31.2,50.7
India,Meghalaya,"Financial Year (Apr - Mar), 2021",1328,7.3,24.5
India,Mizoram,"Financial Year (Apr - Mar), 2021",2842,3.5,68.5
India,Nagaland,"Financial Year (Apr - Mar), 2021",775,15.4,58
India,Odisha,"Financial Year (Apr - Mar), 2021",14313,1.1,95.9
India,Puducherry,"Financial Year (Apr - Mar), 2021",-85,15.6,78
India,Punjab,"Financial Year (Apr - Mar), 2021",2951,1,99.3
India,Rajasthan,"Financial Year (Apr - Mar), 2021",7087,0.2,99.3
India,Sikkim,"Financial Year (Apr - Mar), 2021",1335,4,19.6
India,Tamil Nadu,"Financial Year (Apr - Mar), 2021",23131,2.8,99.5
India,Telangana,"Financial Year (Apr - Mar), 2021",7328,0.1,98.3
India,The Dadra and Nagar Haveli and Daman and Diu,"Financial Year (Apr - Mar), 2021",733,5.8,68.1
India,Tripura,"Financial Year (Apr - Mar), 2021",2073,5,74.9
India,Uttar Pradesh,"Financial Year (Apr - Mar), 2021",5070,4.5,88
India,Uttarakhand,"Financial Year (Apr - Mar), 2021",1433,7.3,97.2
India,West Bengal,"Financial Year (Apr - Mar), 2021",10080,4.7,89.5
India,Andaman and Nicobar Islands,"Financial Year (Apr - Mar), 2020",720,39.7,43
India,Andhra Pradesh,"Financial Year (Apr - Mar), 2020",14768,0.9,99.7
India,Arunachal Pradesh,"Financial Year (Apr - Mar), 2020",-2006,48.5,9.1
India,Assam,"Financial Year (Apr - Mar), 2020",1045,7.4,67.8
India,Bihar,"Financial Year (Apr - Mar), 2020",7677,1.9,54.9
India,Chandigarh,"Financial Year (Apr - Mar), 2020",259,6.8,74.5
India,Chhattisgarh,"Financial Year (Apr - Mar), 2020",2712,2.9,83.5
